name,height,long,lat
Tom a'Choinich,1112.0,-5.048950311188215,57.29954432734624
Carn a'Choire Bhoidheach,1109.9,-3.272699092900979,56.94578780537031
Sgurr nan Conbhairean,1109.0,-5.095426030578573,57.17760329367152
Sgurr Mor,1108.0,-5.016741060726835,57.70012678643581
Meall a'Bhuiridh,1108.0,-4.8520817041702315,56.612212059693896
Stob a'Choire Mheadhoin,1105.0,-4.7602069017873605,56.823676943254
Beinn Eibhinn,1103.2,-4.5420891967423485,56.825254248135494
Beinn Ghlas,1103.0,-4.236993457411711,56.536008286400985
Mullach Fraoch-choire,1102.0,-5.155692873983115,57.205437271613114
Creise,1099.8,-4.871990196955805,56.614440754225136
Sgurr a'Mhaim,1099.0,-5.003691225587731,56.75590474013678
Sgurr Choinnich Mor,1094.0,-4.903963437537433,56.800418808624144
Sgurr nan Clach Geala,1093.0,-5.048246338335004,57.6962780822746
Bynack More,1090.0,-3.584719371943115,57.13784172723
Stob Ghabhar,1090.0,-4.882134042666466,56.56809568671978
Beinn a'Chlachair,1087.0,-4.509697136944796,56.869515012584685
Beinn Dearg,1084.0,-4.929569089272219,57.78633502400205
Sgurr a'Choire Ghlais,1083.0,-4.902956108272798,57.443940851525326
Beinn a'Chaorainn,1083.0,-3.5774389209139565,57.093334702426276
Schiehallion,1083.0,-4.100218037045456,56.66694505901164
Beinn a'Chreachain,1080.6,-4.6476292563674315,56.56037883196372
Ben Starav,1078.0,-5.049813358014199,56.5389349562925
Beinn Sheasgarnaich [Beinn Heasgarnich],1077.4,-4.579227422802756,56.51026748701734
Beinn Dorain,1076.0,-4.722147541762248,56.50287952756709
Stob Coire Sgreamhach,1072.0,-5.010300808019609,56.63830909303875
Braigh Coire Chruinn-bhalgain,1070.0,-3.7295025148393126,56.83109654879972
An Socach,1069.0,-5.158605357154129,57.35021324223057
Meall Corranaich,1069.0,-4.253469807702577,56.54094920105107
Glas Maol,1068.0,-3.368241994635097,56.87307387038994
Sgurr Fhuaran,1067.0,-5.34762808676055,57.19611009657376
Cairn of Claise,1064.0,-3.338660101790222,56.89418479134243
An Teallach - Bidein a'Ghlas Thuill,1062.5,-5.251770711121077,57.80707779317218
An Teallach - Sgurr Fiona,1058.6,-5.259446261611737,57.800705039610314
Liathach - Spidean a'Choire Leith,1055.0,-5.463588275417626,57.564169987859245
Na Gruagaichean,1054.2,-4.939885500244038,56.7436770035949
Stob Poite Coire Ardair,1054.0,-4.585777017921957,56.96406813873801
Toll Creagach,1054.0,-4.999959394594781,57.309219109521045
Sgurr a'Chaorachain,1053.0,-5.189302414141277,57.45247211939173
